2.3805 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
20.7091 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 960]. Using actual size
0.0003 	DATA 	START
5.8096 	DATA 	Keypress: 5
5.8101 	DATA 	Keypress: 5
5.9992 	DATA 	Keypress: 5
6.0089 	DATA 	Displaying Round 1 label
7.9992 	DATA 	Keypress: 5
8.0411 	DATA 	Starting Round 1
9.2592 	DATA 	round 1 - trial 0 - throw: 1to3 - FBALL
9.9993 	DATA 	Keypress: 5
12.4821 	DATA 	Keypress: 5
12.6815 	DATA 	round 1 - trial 1 - throw: 3to2 - FBALL
13.9466 	DATA 	PLAYER HAS BALL
13.9993 	DATA 	Keypress: 5
14.9252 	DATA 	Keypress: 2
14.9334 	DATA 	PLAYER THROWS TO 3 - RT 0.9867
14.9334 	DATA 	round 1 - trial 2 - throw: 2to3 - FBALL
15.9993 	DATA 	Keypress: 5
18.8577 	DATA 	Keypress: 5
19.0571 	DATA 	round 1 - trial 3 - throw: 3to1 - FBALL
19.9992 	DATA 	Keypress: 5
23.2801 	DATA 	Keypress: 5
23.4795 	DATA 	round 1 - trial 4 - throw: 1to3 - FBALL
23.9993 	DATA 	Keypress: 5
26.7023 	DATA 	Keypress: 5
26.9017 	DATA 	round 1 - trial 5 - throw: 3to1 - FBALL
27.9994 	DATA 	Keypress: 5
29.3395 	DATA 	round 1 - trial 6 - throw: 1to2 - FBALL
29.9994 	DATA 	Keypress: 5
30.6070 	DATA 	PLAYER HAS BALL
31.1622 	DATA 	Keypress: 1
31.1624 	DATA 	PLAYER THROWS TO 1 - RT 0.5554
31.1625 	DATA 	round 1 - trial 7 - throw: 2to1 - FBALL
31.9992 	DATA 	Keypress: 5
34.0780 	DATA 	Keypress: 5
34.2775 	DATA 	round 1 - trial 8 - throw: 1to3 - FBALL
36.5002 	DATA 	Keypress: 5
36.6996 	DATA 	round 1 - trial 9 - throw: 3to2 - FBALL
37.9686 	DATA 	PLAYER HAS BALL
37.9992 	DATA 	Keypress: 5
38.4223 	DATA 	Keypress: 1
38.4225 	DATA 	PLAYER THROWS TO 1 - RT 0.4538
38.4225 	DATA 	round 1 - trial 10 - throw: 2to1 - FBALL
40.3287 	DATA 	Keypress: 5
40.5281 	DATA 	round 1 - trial 11 - throw: 1to2 - FBALL
41.7975 	DATA 	PLAYER HAS BALL
41.9992 	DATA 	Keypress: 5
42.2222 	DATA 	Keypress: 2
42.2308 	DATA 	PLAYER THROWS TO 3 - RT 0.4332
42.2308 	DATA 	round 1 - trial 12 - throw: 2to3 - FBALL
43.3367 	DATA 	round 1 - trial 13 - throw: 3to2 - FBALL
43.9991 	DATA 	Keypress: 5
44.6004 	DATA 	PLAYER HAS BALL
44.7203 	DATA 	Keypress: 2
44.7212 	DATA 	PLAYER THROWS TO 3 - RT 0.1208
44.7212 	DATA 	round 1 - trial 14 - throw: 2to3 - FBALL
48.6265 	DATA 	Keypress: 5
48.6270 	DATA 	Keypress: 5
48.8259 	DATA 	round 1 - trial 15 - throw: 3to2 - FBALL
49.9992 	DATA 	Keypress: 5
50.0915 	DATA 	PLAYER HAS BALL
50.4342 	DATA 	Keypress: 1
50.4391 	DATA 	PLAYER THROWS TO 1 - RT 0.3476
50.4392 	DATA 	round 1 - trial 16 - throw: 2to1 - FBALL
51.5447 	DATA 	round 1 - trial 17 - throw: 1to2 - FBALL
51.9992 	DATA 	Keypress: 5
52.8094 	DATA 	PLAYER HAS BALL
53.2002 	DATA 	Keypress: 1
53.2022 	DATA 	PLAYER THROWS TO 1 - RT 0.3928
53.2023 	DATA 	round 1 - trial 18 - throw: 2to1 - FBALL
54.0008 	DATA 	Keypress: 5
55.3109 	DATA 	round 1 - trial 19 - throw: 1to3 - FBALL
55.9991 	DATA 	Keypress: 5
56.7330 	DATA 	round 1 - trial 20 - throw: 3to2 - FBALL
58.0006 	DATA 	PLAYER HAS BALL
58.0012 	DATA 	Keypress: 5
58.2204 	DATA 	Keypress: 2
58.2206 	DATA 	PLAYER THROWS TO 3 - RT 0.2199
58.2206 	DATA 	round 1 - trial 21 - throw: 2to3 - FBALL
60.1277 	DATA 	Keypress: 5
60.3271 	DATA 	round 1 - trial 22 - throw: 3to1 - FBALL
62.5498 	DATA 	Keypress: 5
62.7492 	DATA 	round 1 - trial 23 - throw: 1to3 - FBALL
63.9992 	DATA 	Keypress: 5
66.9721 	DATA 	Keypress: 5
67.1716 	DATA 	round 1 - trial 24 - throw: 3to2 - FBALL
67.9993 	DATA 	Keypress: 5
68.4707 	DATA 	PLAYER HAS BALL
68.9992 	DATA 	Keypress: 1
69.0048 	DATA 	PLAYER THROWS TO 1 - RT 0.5341
69.0049 	DATA 	round 1 - trial 25 - throw: 2to1 - FBALL
69.9991 	DATA 	Keypress: 5
71.1095 	DATA 	round 1 - trial 26 - throw: 1to3 - FBALL
71.9991 	DATA 	Keypress: 5
75.3324 	DATA 	Keypress: 5
75.5318 	DATA 	round 1 - trial 27 - throw: 3to1 - FBALL
75.9991 	DATA 	Keypress: 5
78.7546 	DATA 	Keypress: 5
78.9541 	DATA 	round 1 - trial 28 - throw: 1to2 - FBALL
79.9992 	DATA 	Keypress: 5
80.2174 	DATA 	PLAYER HAS BALL
80.5622 	DATA 	Keypress: 2
80.5672 	DATA 	PLAYER THROWS TO 3 - RT 0.3498
80.5673 	DATA 	round 1 - trial 29 - throw: 2to3 - FBALL
82.4737 	DATA 	Keypress: 5
82.6732 	DATA 	round 1 - trial 30 - throw: 3to2 - FBALL
83.9373 	DATA 	PLAYER HAS BALL
83.9991 	DATA 	Keypress: 5
84.1031 	DATA 	Keypress: 2
84.1141 	DATA 	PLAYER THROWS TO 3 - RT 0.1768
84.1141 	DATA 	round 1 - trial 31 - throw: 2to3 - FBALL
86.0210 	DATA 	Keypress: 5
86.2204 	DATA 	round 1 - trial 32 - throw: 3to1 - FBALL
88.4588 	DATA 	Keypress: 5
88.6582 	DATA 	round 1 - trial 33 - throw: 1to2 - FBALL
89.9226 	DATA 	PLAYER HAS BALL
89.9991 	DATA 	Keypress: 5
90.2342 	DATA 	Keypress: 1
90.2352 	DATA 	PLAYER THROWS TO 1 - RT 0.3126
90.2352 	DATA 	round 1 - trial 34 - throw: 2to1 - FBALL
94.1469 	DATA 	Keypress: 5
94.1474 	DATA 	Keypress: 5
94.3463 	DATA 	round 1 - trial 35 - throw: 1to3 - FBALL
95.7723 	DATA 	round 1 - trial 36 - throw: 3to1 - FBALL
95.9991 	DATA 	Keypress: 5
100.0068 	DATA 	Keypress: 5
100.0073 	DATA 	Keypress: 5
100.2063 	DATA 	round 1 - trial 37 - throw: 1to2 - FBALL
101.4725 	DATA 	PLAYER HAS BALL
101.7991 	DATA 	Keypress: 2
101.8054 	DATA 	PLAYER THROWS TO 3 - RT 0.3328
101.8054 	DATA 	round 1 - trial 38 - throw: 2to3 - FBALL
101.9992 	DATA 	Keypress: 5
105.7106 	DATA 	Keypress: 5
105.9100 	DATA 	round 1 - trial 39 - throw: 3to1 - FBALL
105.9991 	DATA 	Keypress: 5
109.1484 	DATA 	Keypress: 5
109.3479 	DATA 	round 1 - trial 40 - throw: 1to3 - FBALL
109.9990 	DATA 	Keypress: 5
111.7700 	DATA 	round 1 - trial 41 - throw: 3to1 - FBALL
111.9991 	DATA 	Keypress: 5
114.9930 	DATA 	Keypress: 5
115.1924 	DATA 	round 1 - trial 42 - throw: 1to3 - FBALL
115.9990 	DATA 	Keypress: 5
118.4307 	DATA 	Keypress: 5
120.4465 	DATA 	Keypress: 5
120.6460 	DATA 	Displaying Round 2 label
122.4623 	DATA 	Keypress: 5
122.6618 	DATA 	Starting Round 2
124.6657 	DATA 	Keypress: 5
124.8651 	DATA 	round 2 - trial 43 - throw: 1to3 - FBALL
125.9991 	DATA 	Keypress: 5
127.3029 	DATA 	round 2 - trial 44 - throw: 3to2 - FBALL
128.0095 	DATA 	Keypress: 5
128.5798 	DATA 	PLAYER HAS BALL
128.9201 	DATA 	Keypress: 2
128.9261 	DATA 	PLAYER THROWS TO 3 - RT 0.3463
128.9262 	DATA 	round 2 - trial 45 - throw: 2to3 - FBALL
129.9991 	DATA 	Keypress: 5
132.8384 	DATA 	Keypress: 5
133.0379 	DATA 	round 2 - trial 46 - throw: 3to1 - FBALL
133.9990 	DATA 	Keypress: 5
136.2613 	DATA 	Keypress: 5
136.4601 	DATA 	round 2 - trial 47 - throw: 1to2 - FBALL
137.7249 	DATA 	PLAYER HAS BALL
137.8721 	DATA 	Keypress: 1
137.8763 	DATA 	PLAYER THROWS TO 1 - RT 0.1513
137.8763 	DATA 	round 2 - trial 48 - throw: 2to1 - FBALL
138.0193 	DATA 	Keypress: 5
140.8009 	DATA 	Keypress: 5
141.0004 	DATA 	round 2 - trial 49 - throw: 1to2 - FBALL
141.9992 	DATA 	Keypress: 5
142.2644 	DATA 	PLAYER HAS BALL
142.4181 	DATA 	Keypress: 1
142.4258 	DATA 	PLAYER THROWS TO 1 - RT 0.1613
142.4258 	DATA 	round 2 - trial 50 - throw: 2to1 - FBALL
143.5315 	DATA 	round 2 - trial 51 - throw: 1to2 - FBALL
143.9992 	DATA 	Keypress: 5
144.7969 	DATA 	PLAYER HAS BALL
144.9320 	DATA 	Keypress: 1
144.9382 	DATA 	PLAYER THROWS TO 1 - RT 0.1412
144.9382 	DATA 	round 2 - trial 52 - throw: 2to1 - FBALL
145.9991 	DATA 	Keypress: 5
148.8562 	DATA 	Keypress: 5
149.0557 	DATA 	round 2 - trial 53 - throw: 1to3 - UBALL
149.9991 	DATA 	Keypress: 5
153.2941 	DATA 	Keypress: 5
153.4936 	DATA 	round 2 - trial 54 - throw: 3to1 - UBALL
153.9991 	DATA 	Keypress: 5
154.9163 	DATA 	round 2 - trial 55 - throw: 1to3 - UBALL
156.0029 	DATA 	Keypress: 5
157.3378 	DATA 	round 2 - trial 56 - throw: 3to1 - UBALL
157.9990 	DATA 	Keypress: 5
159.7599 	DATA 	round 2 - trial 57 - throw: 1to3 - UBALL
159.9990 	DATA 	Keypress: 5
162.9827 	DATA 	Keypress: 5
163.1821 	DATA 	round 2 - trial 58 - throw: 3to1 - UBALL
164.0000 	DATA 	Keypress: 5
167.4206 	DATA 	Keypress: 5
167.6201 	DATA 	round 2 - trial 59 - throw: 1to3 - UBALL
168.0145 	DATA 	Keypress: 5
169.1239 	DATA 	round 2 - trial 60 - throw: 3to1 - UBALL
170.0148 	DATA 	Keypress: 5
171.6518 	DATA 	round 2 - trial 61 - throw: 1to3 - UBALL
172.0150 	DATA 	Keypress: 5
175.9217 	DATA 	Keypress: 5
175.9990 	DATA 	Keypress: 5
176.1212 	DATA 	round 2 - trial 62 - throw: 3to1 - UBALL
177.5458 	DATA 	round 2 - trial 63 - throw: 1to3 - UBALL
177.9991 	DATA 	Keypress: 5
181.7971 	DATA 	Keypress: 5
181.9966 	DATA 	round 2 - trial 64 - throw: 3to1 - UBALL
182.0023 	DATA 	Keypress: 5
185.2194 	DATA 	Keypress: 5
185.4188 	DATA 	round 2 - trial 65 - throw: 1to3 - UBALL
185.9991 	DATA 	Keypress: 5
186.8414 	DATA 	round 2 - trial 66 - throw: 3to1 - UBALL
187.9991 	DATA 	Keypress: 5
190.0793 	DATA 	Keypress: 5
190.2788 	DATA 	round 2 - trial 67 - throw: 1to3 - UBALL
194.5173 	DATA 	Keypress: 5
194.5179 	DATA 	Keypress: 5
194.7167 	DATA 	round 2 - trial 68 - throw: 3to1 - UBALL
195.9990 	DATA 	Keypress: 5
197.1389 	DATA 	round 2 - trial 69 - throw: 1to3 - UBALL
197.9990 	DATA 	Keypress: 5
200.4085 	DATA 	Keypress: 5
200.6080 	DATA 	round 2 - trial 70 - throw: 3to1 - UBALL
201.9990 	DATA 	Keypress: 5
203.0301 	DATA 	round 2 - trial 71 - throw: 1to3 - UBALL
203.9990 	DATA 	Keypress: 5
206.2535 	DATA 	Keypress: 5
206.4523 	DATA 	round 2 - trial 72 - throw: 3to1 - UBALL
208.6750 	DATA 	Keypress: 5
208.8744 	DATA 	round 2 - trial 73 - throw: 1to3 - UBALL
209.9990 	DATA 	Keypress: 5
212.0972 	DATA 	Keypress: 5
212.2967 	DATA 	round 2 - trial 74 - throw: 3to1 - UBALL
214.5194 	DATA 	Keypress: 5
214.7188 	DATA 	round 2 - trial 75 - throw: 1to3 - UBALL
215.9989 	DATA 	Keypress: 5
217.1409 	DATA 	round 2 - trial 76 - throw: 3to1 - UBALL
217.9989 	DATA 	Keypress: 5
220.3794 	DATA 	Keypress: 5
220.5788 	DATA 	round 2 - trial 77 - throw: 1to3 - UBALL
221.9989 	DATA 	Keypress: 5
222.0006 	DATA 	round 2 - trial 78 - throw: 3to1 - UBALL
226.2237 	DATA 	Keypress: 5
226.2243 	DATA 	Keypress: 5
226.4232 	DATA 	round 2 - trial 79 - throw: 1to3 - UBALL
230.6617 	DATA 	Keypress: 5
230.6623 	DATA 	Keypress: 5
230.8612 	DATA 	round 2 - trial 80 - throw: 3to1 - UBALL
231.9989 	DATA 	Keypress: 5
235.0996 	DATA 	Keypress: 5
235.2991 	DATA 	Displaying Round 3 label
237.1155 	DATA 	Keypress: 5
237.3149 	DATA 	Starting Round 3
239.3189 	DATA 	Keypress: 5
239.5183 	DATA 	round 3 - trial 81 - throw: 1to2 - PBALL
240.0014 	DATA 	Keypress: 5
240.8027 	DATA 	PLAYER HAS BALL
240.8981 	DATA 	Keypress: 1
240.9037 	DATA 	PLAYER THROWS TO 1 - RT 0.1010
240.9038 	DATA 	round 3 - trial 82 - throw: 2to1 - PBALL
241.9990 	DATA 	Keypress: 5
